SID,Trial,Stop,Z (s),Delay (s),RT (s),Code,Duration (s),Mean (s)
20130818T233326,Go,0,,,0.73788,3,0.74856,0.73788
20130818T233326,Go,0,,,0.011898,3,0.017651,0.37489
20130818T233326,Go,0,,,0.10905,3,0.11616,0.28628
20130818T233326,Go,0,,,0.26838,3,0.283,0.2818
20130818T233326,Go,0,,,0.29514,3,0.29971,0.28447
20130818T233326,Go,0,,,0.28039,3,0.28295,0.28379
20130818T233326,Go,0,,,0.28892,3,0.29965,0.28452
20130818T233326,Go,0,,,0.30872,3,0.31626,0.28755
20130818T233326,Go,0,,,0.2447,3,0.25064,0.28279
20130818T233326,Go,0,,,0.47347,3,0.48288,0.30185
20130818T233326,Go,0,,,0.34466,3,0.35052,0.30575
20130818T233326,Go,0,,,0.18049,3,0.18295,0.29531
20130818T233326,Go,0,,,0.24399,3,0.25027,0.29136
20130818T233326,Go,0,,,0.32481,3,0.33284,0.29375
20130818T233326,Go,0,,,0.60987,3,0.61606,0.31482
20130818T233326,Go,0,,,0.5957,3,0.5995,0.33238
20130818T233326,Go,0,,,0.70352,3,0.71628,0.35421
20130818T233326,Stop,1,0.10421,0.25,,1,2.1161,0.35421
20130818T233326,Go,0,,,,4,2.216,0.35421
20130818T233326,Go,0,,,0.56317,3,0.56621,0.36582
20130818T233326,Go,0,,,0.55599,3,0.56617,0.37583
20130818T233326,Stop,1,0.14249,0.23333,0.59624,2,0.59963,0.38685
20130818T233326,Stop,1,0.13685,0.25,,1,2.1494,0.38685
20130818T233326,Go,0,,,,4,2.216,0.38685
