SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s),Trial Duration (s),Onset Difference (s),Trial Duration (ms),Onset Difference (ms),Latency (ms),,Block,Expected Block Duration (ms),Actual Block Duration (ms),Block Duration Difference (ms),Calculated Between-Trial Latency (ms),Remaining Within cycle() Latency (ms),Within cycle() Latency Per Trial (ms)
20130821T161643,1,29,127738.4868,51.0954,Go,0,,,,,4,2.1998,1498.3504,NaN,3.6981504,3.7161446,3698.1504,3716.1446,17.9942,,,,,,,,
20130821T161643,1,30,131454.6314,52.5819,Go,0,,,,,4,2.1998,2498.4178,NaN,4.6982178,4.7169852,4698.2178,4716.9852,18.7674,,,,,,,,
20130821T161643,1,31,136171.6166,54.4686,Stop,1,0.36667,0.23333,,,1,2.3664,1981.6508,NaN,4.3480508,4.3655219,4348.0508,4365.5219,17.4711,,,,,,,,
20130821T161643,1,32,140537.1385,56.2149,Go,0,,,,,4,2.1997,2498.3246,NaN,4.6980246,4.7163459,4698.0246,4716.3459,18.3213,,,,,,,,
20130821T161643,1,33,145253.4844,58.1014,Go,0,,,,,4,2.1998,1998.3198,NaN,4.1981198,4.2163103,4198.1198,4216.3103,18.1905,,,,,,,,
20130821T161643,1,34,149469.7947,59.7879,Go,0,,,,,4,2.1998,1998.3911,NaN,4.1981911,4.2163974,4198.1911,4216.3974,18.2063,,,,,,,,
20130821T161643,1,35,153686.1921,61.4745,Go,0,,,,,4,2.1998,2498.385,NaN,4.698185,4.7163059,4698.185,4716.3059,18.1209,,,,,,,,
20130821T161643,1,36,158402.498,63.361,Go,0,,,,,4,2.1998,2998.3301,NaN,5.1981301,5.2162011,5198.1301,5216.2011,18.071,,,,,,,,
20130821T161643,1,37,163618.6991,65.4475,Go,0,,,,,4,2.1998,1998.3198,NaN,4.1981198,4.2162788,4198.1198,4216.2788,18.159,,,,,,,,
20130821T161643,1,38,167834.9779,67.134,Go,0,,,,,4,2.1998,1498.3776,NaN,3.6981776,3.7163234,3698.1776,3716.3234,18.1458,,,,,,,,
20130821T161643,1,39,171551.3013,68.6205,Go,0,,,,,4,2.1998,1998.3666,NaN,4.1981666,4.2164017,4198.1666,4216.4017,18.2351,,,,,,,,
20130821T161643,1,40,175767.703,70.3071,Go,0,,,,,4,2.1998,1498.323,NaN,3.698123,3.7161986,3698.123,3716.1986,18.0756,,,,,,,,
20130821T161643,1,41,179483.9016,71.7936,Go,0,,,,,4,2.1998,2998.3221,NaN,5.1981221,5.2164113,5198.1221,5216.4113,18.2892,,,,,,,,
20130821T161643,1,42,184700.3129,73.8801,Go,0,,,,,4,2.1998,2498.3223,NaN,4.6981223,4.7163429,4698.1223,4716.3429,18.2206,,,,,,,,
20130821T161643,1,43,189416.6558,75.7667,Go,0,,,,,4,2.1998,1998.4367,NaN,4.1982367,4.2169073,4198.2367,4216.9073,18.6706,,,,,,,,
20130821T161643,1,44,193633.5631,77.4534,Stop,1,0.36667,0.23333,,,1,2.3665,1481.6728,NaN,3.8481728,3.8655981,3848.1728,3865.5981,17.4253,,,,,,,,
20130821T161643,1,45,197499.1612,78.9997,Go,0,,,,,4,2.1998,2498.4761,NaN,4.6982761,4.7171177,4698.2761,4717.1177,18.8416,,,,,,,,
20130821T161643,1,46,202216.2789,80.8865,Stop,1,0.36667,0.23333,,,1,2.3665,2481.655,NaN,4.848155,4.8660957,4848.155,4866.0957,17.9407,,,,,,,,
20130821T161643,1,47,207082.3746,82.8329,Stop,1,0.35,0.25,,,1,2.3498,1998.3294,NaN,4.3481294,4.365699,4348.1294,4365.699,17.5696,,,,,,,,
20130821T161643,1,48,211448.0736,84.5792,Go,0,,,,,4,2.1998,2498.3173,NaN,4.6981173,4.7162661,4698.1173,4716.2661,18.1488,,,,,,,,
20130821T161643,1,49,216164.3397,86.4657,Go,0,,,,,4,2.1998,2498.4132,NaN,4.6982132,4.7164784,4698.2132,4716.4784,18.2652,,,,,,,,
20130821T161643,1,50,220880.8181,88.3523,Go,0,,,,,4,2.1998,1498.4777,NaN,3.6982777,,3698.2777,,,,,,,,,,
20130821T161643,2,1,5766.3248,2.3065,Stop,1,0.36667,0.23333,,,1,2.3665,2981.6588,NaN,5.3481588,5.366186,5348.1588,5366.186,18.0272,,,,,,,,
20130821T161643,2,2,11132.5108,4.453,Go,0,,,,,4,2.1998,2498.3587,NaN,4.6981587,4.7162763,4698.1587,4716.2763,18.1176,,,,,,,,
20130821T161643,2,3,15848.7871,6.3395,Go,0,,,,,4,2.1998,1998.3327,NaN,4.1981327,4.2162266,4198.1327,4216.2266,18.0939,,,,,,,,
20130821T161643,2,4,20065.0137,8.026,Go,0,,,,,4,2.1998,1498.3197,NaN,3.6981197,3.7162956,3698.1197,3716.2956,18.1759,,,,,,,,
20130821T161643,2,5,23781.3093,9.5125,Go,0,,,,,4,2.1998,2498.3349,NaN,4.6981349,4.7163284,4698.1349,4716.3284,18.1935,,,,,,,,
20130821T161643,2,6,28497.6377,11.3991,Go,0,,,,,4,2.1998,2498.3425,NaN,4.6981425,4.7169458,4698.1425,4716.9458,18.8033,,,,,,,,
20130821T161643,2,7,33214.5835,13.2858,Stop,1,0.35,0.25,,,1,2.3498,1998.3188,NaN,4.3481188,4.366234,4348.1188,4366.234,18.1152,,,,,,,,
20130821T161643,2,8,37580.8175,15.0323,Stop,1,0.36667,0.23333,,,1,2.3665,2481.6797,NaN,4.8481797,4.8657484,4848.1797,4865.7484,17.5687,,,,,,,,
20130821T161643,2,9,42446.5659,16.9786,Go,0,,,,,4,2.1998,2498.3256,NaN,4.6981256,4.7168359,4698.1256,4716.8359,18.7103,,,,,,,,
20130821T161643,2,10,47163.4018,18.8654,Stop,1,0.35,0.25,,,1,2.3498,1498.4672,NaN,3.8482672,3.8658323,3848.2672,3865.8323,17.5651,,,,,,,,
20130821T161643,2,11,51029.2341,20.4117,Go,0,,,,,4,2.1998,1998.4972,NaN,4.1982972,4.2164007,4198.2972,4216.4007,18.1035,,,,,,,,
20130821T161643,2,12,55245.6348,22.0983,Go,0,,,,,4,2.1998,1498.3902,NaN,3.6981902,3.7162197,3698.1902,3716.2197,18.0295,,,,,,,,
20130821T161643,2,13,58961.8545,23.5847,Go,0,,,,,4,2.1998,1498.3526,NaN,3.6981526,3.716339,3698.1526,3716.339,18.1864,,,,,,,,
20130821T161643,2,14,62678.1935,25.0713,Go,0,,,,,4,2.1998,1998.5302,NaN,4.1983302,4.2166834,4198.3302,4216.6834,18.3532,,,,,,,,
20130821T161643,2,15,66894.8769,26.758,Go,0,,,,,4,2.1998,1998.3718,NaN,4.1981718,4.2160028,4198.1718,4216.0028,17.831,,,,,,,,
20130821T161643,2,16,71110.8797,28.4444,Go,0,,,,,4,2.1997,1498.3157,NaN,3.6980157,3.7161936,3698.0157,3716.1936,18.1779,,,,,,,,
20130821T161643,2,17,74827.0733,29.9308,Go,0,,,,,4,2.1998,1498.371,NaN,3.698171,3.7165409,3698.171,3716.5409,18.3699,,,,,,,,
20130821T161643,2,18,78543.6142,31.4174,Go,0,,,,,4,2.1998,2498.3203,NaN,4.6981203,4.7163108,4698.1203,4716.3108,18.1905,,,,,,,,
20130821T161643,2,19,83259.925,33.304,Go,0,,,,,4,2.1997,2498.3187,NaN,4.6980187,4.7168088,4698.0187,4716.8088,18.7901,,,,,,,,
20130821T161643,2,20,87976.7338,35.1907,Stop,1,0.36667,0.23333,,,1,2.3665,1981.6498,NaN,4.3481498,4.3657413,4348.1498,4365.7413,17.5915,,,,,,,,
20130821T161643,2,21,92342.4751,36.937,Go,0,,,,,4,2.1998,2498.321,NaN,4.698121,4.7162821,4698.121,4716.2821,18.1611,,,,,,,,
20130821T161643,2,22,97058.7572,38.8235,Go,0,,,,,4,2.1998,1998.3337,NaN,4.1981337,4.2162583,4198.1337,4216.2583,18.1246,,,,,,,,
20130821T161643,2,23,101275.0155,40.51,Go,0,,,,,4,2.1998,2998.4154,NaN,5.1982154,5.2164394,5198.2154,5216.4394,18.224,,,,,,,,
20130821T161643,2,24,106491.4549,42.5966,Go,0,,,,,4,2.1998,2498.3754,NaN,4.6981754,4.7184506,4698.1754,4718.4506,20.2752,,,,,,,,
20130821T161643,2,25,111209.9055,44.484,Stop,1,0.33333,0.26667,,,1,2.3331,1515.0005,NaN,3.8481005,3.8645702,3848.1005,3864.5702,16.4697,,,,,,,,
20130821T161643,2,26,115074.4757,46.0298,Stop,1,0.35,0.25,,,1,2.3497,2998.3483,NaN,5.3480483,5.3663038,5348.0483,5366.3038,18.2555,,,,,,,,
20130821T161643,2,27,120440.7795,48.1763,Stop,1,0.35,0.25,,,1,2.3498,1498.4531,NaN,3.8482531,3.8658418,3848.2531,3865.8418,17.5887,,,,,,,,
20130821T161643,2,28,124306.6213,49.7226,Go,0,,,,,4,2.1998,1498.4416,NaN,3.6982416,3.7163231,3698.2416,3716.3231,18.0815,,,,,,,,
20130821T161643,2,29,128022.9444,51.2092,Go,0,,,,,4,2.1998,1498.3306,NaN,3.6981306,3.7163327,3698.1306,3716.3327,18.2021,,,,,,,,
20130821T161643,2,30,131739.2771,52.6957,Go,0,,,,,4,2.1998,2498.3349,NaN,4.6981349,4.7162459,4698.1349,4716.2459,18.111,,,,,,,,
20130821T161643,2,31,136455.523,54.5822,Go,0,,,,,4,2.1998,1998.3235,NaN,4.1981235,4.2163338,4198.1235,4216.3338,18.2103,,,,,,,,
20130821T161643,2,32,140671.8568,56.2687,Go,0,,,,,4,2.1998,2498.3886,NaN,4.6981886,4.7164145,4698.1886,4716.4145,18.2259,,,,,,,,
20130821T161643,2,33,145388.2713,58.1553,Go,0,,,,,4,2.1998,1998.4725,NaN,4.1982725,4.2163073,4198.2725,4216.3073,18.0348,,,,,,,,
20130821T161643,2,34,149604.5786,59.8418,Go,0,,,,,4,2.1998,1998.4014,NaN,4.1982014,4.2162882,4198.2014,4216.2882,18.0868,,,,,,,,
20130821T161643,2,35,153820.8668,61.5283,Go,0,,,,,4,2.1998,2498.4454,NaN,4.6982454,4.7164101,4698.2454,4716.4101,18.1647,,,,,,,,
20130821T161643,2,36,158537.2769,63.4149,Go,0,,,,,4,2.1998,2998.4383,NaN,5.1982383,5.2168897,5198.2383,5216.8897,18.6514,,,,,,,,
20130821T161643,2,37,163754.1666,65.5017,Stop,1,0.33333,0.26667,,,1,2.3331,2014.9822,NaN,4.3480822,4.3653523,4348.0822,4365.3523,17.2701,,,,,,,,
20130821T161643,2,38,168119.5189,67.2478,Go,0,,,,,4,2.1998,1498.3322,NaN,3.6981322,3.7163675,3698.1322,3716.3675,18.2353,,,,,,,,
20130821T161643,2,39,171835.8864,68.7344,Go,0,,,,,4,2.1998,1998.3351,NaN,4.1981351,4.2164116,4198.1351,4216.4116,18.2765,,,,,,,,
20130821T161643,2,40,176052.298,70.4209,Go,0,,,,,4,2.1998,1498.3269,NaN,3.6981269,3.7162257,3698.1269,3716.2257,18.0988,,,,,,,,
20130821T161643,2,41,179768.5237,71.9074,Go,0,,,,,4,2.1998,2998.3225,NaN,5.1981225,5.2164236,5198.1225,5216.4236,18.3011,,,,,,,,
20130821T161643,2,42,184984.9473,73.994,Go,0,,,,,4,2.1998,2498.4485,NaN,4.6982485,4.7170968,4698.2485,4717.0968,18.8483,,,,,,,,
20130821T161643,2,43,189702.0441,75.8808,Stop,1,0.35,0.25,,,1,2.3498,1998.3165,NaN,4.3481165,4.3654049,4348.1165,4365.4049,17.2884,,,,,,,,
20130821T161643,2,44,194067.449,77.627,Go,0,,,,,4,2.1998,1498.4516,NaN,3.6982516,3.7164658,3698.2516,3716.4658,18.2142,,,,,,,,
20130821T161643,2,45,197783.9148,79.1136,Go,0,,,,,4,2.1998,2498.322,NaN,4.698122,4.7161397,4698.122,4716.1397,18.0177,,,,,,,,
20130821T161643,2,46,202500.0545,81,Go,0,,,,,4,2.1998,2498.3309,NaN,4.6981309,4.7163724,4698.1309,4716.3724,18.2415,,,,,,,,
20130821T161643,2,47,207216.4269,82.8866,Go,0,,,,,4,2.1998,1998.4373,NaN,4.1982373,4.2163983,4198.2373,4216.3983,18.161,,,,,,,,
20130821T161643,2,48,211432.8252,84.5731,Go,0,,,,,4,2.1998,2498.3187,NaN,4.6981187,4.7161427,4698.1187,4716.1427,18.024,,,,,,,,
20130821T161643,2,49,216148.9679,86.4596,Go,0,,,,,4,2.1998,2498.3713,NaN,4.6981713,4.7163783,4698.1713,4716.3783,18.207,,,,,,,,
20130821T161643,2,50,220865.3462,88.3461,Go,0,,,,,4,2.1998,1498.3633,NaN,3.6981633,,3698.1633,,,,,,,,,,
20130821T161643,3,1,5754.3563,2.3017,Go,0,,,,,4,2.1998,2998.3344,NaN,5.1981344,5.2119531,5198.1344,5211.9531,13.8187,,,,,,,,
20130821T161643,3,2,10966.3094,4.3865,Go,0,,,,,4,2.1998,2498.365,NaN,4.698165,4.7161367,4698.165,4716.1367,17.9717,,,,,,,,
20130821T161643,3,3,15682.4461,6.273,Go,0,,,,,4,2.1998,1998.3221,NaN,4.1981221,4.2167586,4198.1221,4216.7586,18.6365,,,,,,,,
20130821T161643,3,4,19899.2047,7.9597,Stop,1,0.35,0.25,,,1,2.3498,1498.3173,NaN,3.8481173,3.865766,3848.1173,3865.766,17.6487,,,,,,,,
20130821T161643,3,5,23764.9707,9.506,Go,0,,,,,4,2.1998,2498.3593,NaN,4.6981593,4.7164244,4698.1593,4716.4244,18.2651,,,,,,,,
20130821T161643,3,6,28481.3951,11.3926,Go,0,,,,,4,2.1998,2498.325,NaN,4.698125,4.7162078,4698.125,4716.2078,18.0828,,,,,,,,
20130821T161643,3,7,33197.6029,13.279,Go,0,,,,,4,2.1998,1998.3202,NaN,4.1981202,4.216945,4198.1202,4216.945,18.8248,,,,,,,,
20130821T161643,3,8,37414.5479,14.9658,Stop,1,0.35,0.25,,,1,2.3498,2498.3223,NaN,4.8481223,4.8656538,4848.1223,4865.6538,17.5315,,,,,,,,
20130821T161643,3,9,42280.2017,16.9121,Go,0,,,,,4,2.1998,2498.3582,NaN,4.6981582,4.7163823,4698.1582,4716.3823,18.2241,,,,,,,,
20130821T161643,3,10,46996.584,18.7986,Go,0,,,,,4,2.1998,1498.4717,NaN,3.6982717,3.7163449,3698.2717,3716.3449,18.0732,,,,,,,,
20130821T161643,3,11,50712.9289,20.2852,Go,0,,,,,4,2.1998,1998.3139,NaN,4.1981139,4.2161852,4198.1139,4216.1852,18.0713,,,,,,,,
20130821T161643,3,12,54929.1141,21.9716,Go,0,,,,,4,2.1998,1498.4462,NaN,3.6982462,3.7164797,3698.2462,3716.4797,18.2335,,,,,,,,
20130821T161643,3,13,58645.5938,23.4582,Go,0,,,,,4,2.1998,1498.3483,NaN,3.6981483,3.7162552,3698.1483,3716.2552,18.1069,,,,,,,,
20130821T161643,3,14,62361.849,24.9447,Go,0,,,,,4,2.1997,1998.3185,NaN,4.1980185,4.2162683,4198.0185,4216.2683,18.2498,,,,,,,,
20130821T161643,3,15,66578.1173,26.6312,Go,0,,,,,4,2.1998,1998.3965,NaN,4.1981965,4.2170992,4198.1965,4217.0992,18.9027,,,,,,,,
20130821T161643,3,16,70795.2165,28.3181,Stop,1,0.35,0.25,,,1,2.3498,1498.4415,NaN,3.8482415,3.8657151,3848.2415,3865.7151,17.4736,,,,,,,,
20130821T161643,3,17,74660.9316,29.8644,Go,0,,,,,4,2.1998,1498.321,NaN,3.698121,3.7162419,3698.121,3716.2419,18.1209,,,,,,,,
20130821T161643,3,18,78377.1735,31.3509,Go,0,,,,,4,2.1998,2498.3925,NaN,4.6981925,4.716437,4698.1925,4716.437,18.2445,,,,,,,,
20130821T161643,3,19,83093.6105,33.2374,Go,0,,,,,4,2.1998,2498.4102,NaN,4.6982102,4.7162982,4698.2102,4716.2982,18.088,,,,,,,,
20130821T161643,3,20,87809.9087,35.124,Go,0,,,,,4,2.1998,1998.3168,NaN,4.1981168,4.2161319,4198.1168,4216.1319,18.0151,,,,,,,,
20130821T161643,3,21,92026.0406,36.8104,Go,0,,,,,4,2.1998,2498.323,NaN,4.698123,4.7164171,4698.123,4716.4171,18.2941,,,,,,,,
20130821T161643,3,22,96742.4577,38.697,Go,0,,,,,4,2.1998,1998.3205,NaN,4.1981205,4.2162295,4198.1205,4216.2295,18.109,,,,,,,,
20130821T161643,3,23,100958.6872,40.3835,Go,0,,,,,4,2.1998,2998.3291,NaN,5.1981291,5.2163352,5198.1291,5216.3352,18.2061,,,,,,,,
20130821T161643,3,24,106175.0224,42.47,Go,0,,,,,4,2.1998,2498.3676,NaN,4.6981676,4.7162955,4698.1676,4716.2955,18.1279,,,,,,,,
