SID,Trial,Stop,Delay,RT,Code,Duration,Mean
20130731T201400,Go,0,,0.70915,3,0.71668,0.70915
20130731T201400,Go,0,,0.23399,3,0.25,0.47157
20130731T201400,Go,0,,0.3515,3,0.36666,0.43155
20130731T201400,Go,0,,0.2222,3,0.23329,0.37921
20130731T201400,Go,0,,0.32044,3,0.33275,0.36746
20130731T201400,Go,0,,0.23436,3,0.24993,0.34527
20130731T201400,Go,0,,0.25656,3,0.26664,0.3326
20130731T201400,Go,0,,0.39614,3,0.39998,0.34054
20130731T201400,Go,0,,0.5722,3,0.58317,0.36628
20130731T201400,Go,0,,0.30892,3,0.31651,0.36055
20130731T201400,Go,0,,1.2534,3,1.2661,0.44171
20130731T201400,Go,0,,0.2262,3,0.23326,0.42375
20130731T201400,Go,0,,0.3211,3,0.33327,0.41586
20130731T201400,Go,0,,0.44934,3,0.46662,0.41825
20130731T201400,Go,0,,0.34143,3,0.35006,0.41313
20130731T201400,Stop,1,0.41825,0.44821,2,0.45031,0.41532
20130731T201400,Go,0,,1.6991,3,1.7165,0.49084
20130731T201400,Go,0,,0.60801,3,0.61658,0.49735
20130731T201400,Go,0,,0.64961,3,0.66659,0.50536
20130731T201400,Go,0,,0.5788,3,0.58333,0.50903
20130731T201400,Stop,1,0.40158,,1,2.4165,0.50903
20130731T201400,Go,0,,0.36082,3,0.3666,0.50197
20130731T201400,Go,0,,1.3444,3,1.3499,0.54027
20130731T201400,Go,0,,0.55391,3,0.56659,0.54086
20130731T201400,Go,0,,0.59263,3,0.5999,0.54302
20130731T201400,Stop,1,0.41825,,1,2.4331,0.54302
20130731T201400,Go,0,,1.1683,3,1.1829,0.56803
20130731T201400,Go,0,,0.63062,3,0.63321,0.57044
20130731T201400,Go,0,,0.73897,3,0.74974,0.57668
20130731T201400,Go,0,,0.82708,3,0.83319,0.58562
20130731T201400,Go,0,,0.97701,3,0.98309,0.59912
20130731T201400,Stop,1,0.43492,,1,2.4497,0.59912
20130731T201400,Go,0,,0.901,3,0.91563,0.60918
20130731T201400,Go,0,,1.42,3,1.4333,0.63533
20130731T201400,Stop,1,0.45158,,1,2.4663,0.63533
20130731T201400,Go,0,,0.84389,3,0.84986,0.64185
20130731T201400,Go,0,,0.55746,3,0.56662,0.63929
20130731T201400,Stop,1,0.46825,,1,2.483,0.63929
20130731T201400,Go,0,,0.66323,3,0.66658,0.64
20130731T201400,Go,0,,0.5976,3,0.59973,0.63879
20130731T201400,Stop,1,0.48492,,1,2.5,0.63879
20130731T201400,Go,0,,0.83861,3,0.84991,0.64434
20130731T201400,Go,0,,2.1582,3,2.1666,0.68525
20130731T201400,Go,0,,0.64838,3,0.65032,0.68428
20130731T201400,Go,0,,0.69185,3,0.69996,0.68448
20130731T201400,Go,0,,1.2112,3,1.2167,0.69764
20130731T201400,Stop,1,0.50158,,1,2.5163,0.69764
20130731T201400,Go,0,,0.86111,3,0.86657,0.70163
20130731T201400,Stop,1,0.51825,1.0338,2,1.0499,0.70954
20130731T201400,Go,0,,0.61544,3,0.6333,0.70735
20130731T201400,Go,0,,1.884,3,1.8998,0.73409
20130731T201400,Go,0,,0.78625,3,0.79992,0.73525
