SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s),Trial Duration (s),Onset Difference (s),Trial Duration (ms),Onset Difference (ms),Latency (ms),,Block,Expected Block Duration (ms),Actual Block Duration (ms),Block Duration Difference (ms),Calculated By-Trial Latency (ms),Total Outside cycle() Latency (ms),Outside cycle() Latency Per Trial (ms)
20130820T151145,1,29,131540.0718,52.616,Go,0,,,,,4,2.2164,1650.3155,NaN,3.8667155,3.8835312,3866.7155,3883.5312,16.8157,,,,,,,,
20130820T151145,1,30,135423.603,54.1694,Go,0,,,,,4,2.2165,2650.3916,NaN,4.8668916,4.8826115,4866.8916,4882.6115,15.7199,,,,,,,,
20130820T151145,1,31,140306.2145,56.1225,Go,0,,,,,4,2.2165,2150.4454,NaN,4.3669454,4.3828099,4366.9454,4382.8099,15.8645,,,,,,,,
20130820T151145,1,32,144689.0244,57.8756,Go,0,,,,,4,2.2164,2650.339,NaN,4.866739,4.8828724,4866.739,4882.8724,16.1334,,,,,,,,
20130820T151145,1,33,149571.8968,59.8288,Go,0,,,,,4,2.2164,2150.4342,NaN,4.3668342,4.3834195,4366.8342,4383.4195,16.5853,,,,,,,,
20130820T151145,1,34,153955.3163,61.5821,Go,0,,,,,4,2.2165,2150.318,NaN,4.366818,4.3824597,4366.818,4382.4597,15.6417,,,,,,,,
20130820T151145,1,35,158337.776,63.3351,Go,0,,,,,4,2.2165,2650.3301,NaN,4.8668301,4.8829528,4866.8301,4882.9528,16.1227,,,,,,,,
20130820T151145,1,36,163220.7288,65.2883,Go,0,,,,,4,2.2164,3150.3173,NaN,5.3667173,5.3829102,5366.7173,5382.9102,16.1929,,,,,,,,
20130820T151145,1,37,168603.639,67.4415,Go,0,,,,,4,2.2165,2150.3804,NaN,4.3668804,4.3837284,4366.8804,4383.7284,16.848,,,,,,,,
20130820T151145,1,38,172987.3674,69.1949,Stop,1,0.35,0.25,,,1,2.3664,1500.3236,NaN,3.8667236,3.8821241,3866.7236,3882.1241,15.4005,,,,,,,,
20130820T151145,1,39,176869.4915,70.7478,Go,0,,,,,4,2.2164,2150.32,NaN,4.36672,4.3830378,4366.72,4383.0378,16.3178,,,,,,,,
20130820T151145,1,40,181252.5293,72.501,Go,0,,,,,4,2.2165,1650.4336,NaN,3.8669336,3.883126,3866.9336,3883.126,16.1924,,,,,,,,
20130820T151145,1,41,185135.6553,74.0543,Go,0,,,,,4,2.2165,3150.3299,NaN,5.3668299,5.3835403,5366.8299,5383.5403,16.7104,,,,,,,,
20130820T151145,1,42,190519.1956,76.2077,Stop,1,0.36667,0.26667,,,1,2.3831,2483.642,NaN,4.866742,4.8821767,4866.742,4882.1767,15.4347,,,,,,,,
20130820T151145,1,43,195401.3723,78.1605,Go,0,,,,,4,2.3165,2152.4815,NaN,4.4689815,4.4851597,4468.9815,4485.1597,16.1782,,,,,,,,
20130820T151145,1,44,199886.532,79.9546,Go,0,,,,,4,2.2164,1650.3135,NaN,3.8667135,3.8807648,3866.7135,3880.7648,14.0513,,,,,,,,
20130820T151145,1,45,203767.2968,81.5069,Go,0,,,,,4,2.2164,2650.3218,NaN,4.8667218,4.8830945,4866.7218,4883.0945,16.3727,,,,,,,,
20130820T151145,1,46,208650.3913,83.4602,Go,0,,,,,4,2.2165,2650.3175,NaN,4.8668175,4.8828965,4866.8175,4882.8965,16.079,,,,,,,,
20130820T151145,1,47,213533.2878,85.4133,Go,0,,,,,4,2.2165,2150.361,NaN,4.366861,4.3836125,4366.861,4383.6125,16.7515,,,,,,,,
20130820T151145,1,48,217916.9003,87.1668,Stop,1,0.36667,0.26667,,,1,2.3831,2483.6785,NaN,4.8667785,4.8823327,4866.7785,4882.3327,15.5542,,,,,,,,
20130820T151145,1,49,222799.233,89.1197,Go,0,,,,,4,2.2165,2650.3546,NaN,4.8668546,4.8829492,4866.8546,4882.9492,16.0946,,,,,,,,
20130820T151145,1,50,227682.1822,91.0729,Go,0,,,,,4,2.2165,1650.3287,NaN,3.8668287,,3866.8287,,,,,,,,,,
20130820T151145,2,1,5745.5293,2.2982,Go,0,,,,,4,2.2165,3150.3448,NaN,5.3668448,5.372772,5366.8448,5372.772,5.9272,,,,,,,,
20130820T151145,2,2,11118.3013,4.4473,Go,0,,,,,4,2.2165,2650.3346,NaN,4.8668346,4.8825181,4866.8346,4882.5181,15.6835,,,,,,,,
20130820T151145,2,3,16000.8194,6.4003,Go,0,,,,,4,2.2165,2150.4584,NaN,4.3669584,4.3837495,4366.9584,4383.7495,16.7911,,,,,,,,
20130820T151145,2,4,20384.5689,8.1538,Stop,1,0.33333,0.23333,,,1,2.3498,1517.04,NaN,3.86684,3.882198,3866.84,3882.198,15.358,,,,,,,,
20130820T151145,2,5,24266.7669,9.7067,Go,0,,,,,4,2.2164,2650.3731,NaN,4.8667731,4.8829929,4866.7731,4882.9929,16.2198,,,,,,,,
20130820T151145,2,6,29149.7598,11.6599,Go,0,,,,,4,2.2165,2650.4761,NaN,4.8669761,4.8830743,4866.9761,4883.0743,16.0982,,,,,,,,
20130820T151145,2,7,34032.8341,13.6131,Go,0,,,,,4,2.2165,2150.4654,NaN,4.3669654,4.3834903,4366.9654,4383.4903,16.5249,,,,,,,,
20130820T151145,2,8,38416.3244,15.3665,Stop,1,0.35,0.25,,,1,2.3664,2500.3163,NaN,4.8667163,4.8821507,4866.7163,4882.1507,15.4344,,,,,,,,
