SID,Trial,Stop,Delay,RT,Code,Duration,Mean
20130731T211041,Go,0,,0.55946,3,0.58329,0.55946
20130731T211041,Go,0,,0.00077238,3,0.016749,0.28012
20130731T211041,Go,0,,0.85322,3,0.86653,0.47115
20130731T211041,Go,0,,0.19126,3,0.1998,0.40118
20130731T211041,Go,0,,0.23256,3,0.24963,0.36745
20130731T211041,Go,0,,0.21796,3,0.23327,0.34254
20130731T211041,Go,0,,0.28306,3,0.29991,0.33404
20130731T211041,Go,0,,0.25031,3,0.26659,0.32358
20130731T211041,Go,0,,0.26282,3,0.26657,0.31682
20130731T211041,Go,0,,0.21841,3,0.23337,0.30698
20130731T211041,Go,0,,0.20938,3,0.21661,0.29811
20130731T211041,Go,0,,0.21152,3,0.21691,0.2909
20130731T211041,Go,0,,0.20708,3,0.21663,0.28445
20130731T211041,Go,0,,0.23911,3,0.24985,0.28121
20130731T211041,Go,0,,0.27351,3,0.28331,0.2807
20130731T211041,Go,0,,0.30489,3,0.31653,0.28221
20130731T211041,Go,0,,0.65722,3,0.6666,0.30427
20130731T211041,Go,0,,0.43019,3,0.43288,0.31126
20130731T211041,Go,0,,0.21907,3,0.23327,0.30641
20130731T211041,Go,0,,0.44658,3,0.4497,0.31342
20130731T211041,Go,0,,0.24487,3,0.25016,0.31016
20130731T211041,Go,0,,0.32716,3,0.33336,0.31093
20130731T211041,Go,0,,0.33323,3,0.35007,0.3119
20130731T211041,Go,0,,0.38661,3,0.39992,0.31501
20130731T211041,Go,0,,0.26634,3,0.28326,0.31306
20130731T211041,Go,0,,0.26361,3,0.26654,0.31116
20130731T211041,Go,0,,0.24853,3,0.2667,0.30884
20130731T211041,Go,0,,0.21459,3,0.21648,0.30548
20130731T211041,Go,0,,0.53013,3,0.53311,0.31322
20130731T211041,Stop,1,0.28121,0.22512,2,0.23325,0.31029
20130731T211041,Go,0,,1.028,3,1.0334,0.33344
20130731T211041,Go,0,,0.36277,3,0.3668,0.33436
20130731T211041,Stop,1,0.26454,0.28554,2,0.29997,0.33288
20130731T211041,Stop,1,0.24788,0.3462,2,0.34991,0.33327
20130731T211041,Go,0,,0.70928,3,0.71648,0.34401
20130731T211041,Go,0,,0.40134,3,0.41661,0.3456
20130731T211041,Go,0,,0.35516,3,0.36573,0.34586
20130731T211041,Go,0,,0.35433,3,0.36662,0.34609
20130731T211041,Go,0,,0.38183,3,0.38394,0.347
20130731T211041,Go,0,,0.55328,3,0.56664,0.35216
20130731T211041,Go,0,,0.57601,3,0.58316,0.35762
20130731T211041,Go,0,,0.32369,3,0.33333,0.35681
20130731T211041,Go,0,,0.32165,3,0.33335,0.35599
20130731T211041,Go,0,,0.26575,3,0.28328,0.35394
20130731T211041,Stop,1,0.23121,,1,2.2331,0.35394
20130731T211041,Go,0,,0.33222,3,0.34986,0.35346
20130731T211041,Go,0,,0.53658,3,0.54993,0.35744
20130731T211041,Go,0,,0.42464,3,0.43325,0.35887
20130731T211041,Stop,1,0.24788,,1,2.2497,0.35887
20130731T211041,Go,0,,0.66694,3,0.68333,0.36529
20130731T211041,Go,0,,0.33753,3,0.34995,0.36472
20130731T211041,Go,0,,0.51759,3,0.53327,0.36778
20130731T211041,Go,0,,0.61968,3,0.63245,0.37272
20130731T211041,Go,0,,0.57455,3,0.58324,0.3766
20130731T211041,Go,0,,0.3767,3,0.38329,0.3766
20130731T211041,Go,0,,0.78614,3,0.7999,0.38419
20130731T211041,Stop,1,0.26454,,1,2.2664,0.38419
20130731T211041,Go,0,,0.35521,3,0.36667,0.38366
20130731T211041,Go,0,,0.41219,3,0.41754,0.38417
20130731T211041,Go,0,,0.51649,3,0.53323,0.38649
20130731T211041,Go,0,,0.33454,3,0.35003,0.38559
20130731T211041,Go,0,,0.46857,3,0.4832,0.387
20130731T211041,Go,0,,0.50034,3,0.51654,0.38889
20130731T211041,Go,0,,0.3337,3,0.34992,0.38798
20130731T211041,Go,0,,0.60178,3,0.61663,0.39143
20130731T211041,Go,0,,0.38879,3,0.39997,0.39139
20130731T211041,Go,0,,0.54064,3,0.5499,0.39372
20130731T211041,Go,0,,0.5034,3,0.51627,0.39541
20130731T211041,Go,0,,0.43261,3,0.44994,0.39597
20130731T211041,Go,0,,0.428,3,0.43362,0.39645
20130731T211041,Go,0,,0.43147,3,0.43326,0.39697
20130731T211041,Stop,1,0.28121,0.35723,2,0.36662,0.39639
20130731T211041,Go,0,,0.52554,3,0.53227,0.39824
20130731T211041,Go,0,,0.52762,3,0.53315,0.40006
20130731T211041,Go,0,,0.45503,3,0.46662,0.40082
20130731T211041,Go,0,,0.56988,3,0.58326,0.40314
20130731T211041,Go,0,,0.47413,3,0.48327,0.4041
20130731T211041,Go,0,,0.45038,3,0.46602,0.40471
20130731T211041,Go,0,,0.562,3,0.56633,0.40678
