SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s)
20130818T230746,1,1,1925.7604,0.7703,Go,0,,,51,1.2979,3,2.2208,3152.4066,1.2979
20130818T230746,1,2,7662.5402,3.065,Stop,1,1.0479,0.25,51,1.3919,2,3.0557,1802.5862,1.3449
20130818T230746,1,3,12538.9587,5.0156,Go,0,,,52,0.91648,3,2.2041,2150.3738,1.2021
20130818T230746,1,4,16910.3478,6.7641,Go,0,,,51,0.646,3,2.2041,1650.3418,1.0631
20130818T230746,1,5,20768.3787,8.3074,Go,0,,,51,0.93208,3,2.2041,2650.426,1.0369
20130818T230746,1,6,25645.4915,10.2582,Stop,1,0.78687,0.25,51,0.69638,2,2.7885,2063.5102,0.98012
20130818T230746,1,7,30515.5872,12.2062,Go,0,,,51,0.42106,3,2.2041,2150.3874,0.90026
20130818T230746,1,8,34877.0657,13.9508,Go,0,,,51,0.66345,3,2.2041,2650.4244,0.87066
20130818T230746,1,9,39735.188,15.8941,Go,0,,,51,0.77197,3,2.2041,2650.3378,0.85969
20130818T230746,1,10,44594.1026,17.8376,Go,0,,,51,0.61667,3,2.2041,1650.3362,0.83539
20130818T230746,1,11,48453.0923,19.3812,Go,0,,,51,0.87089,3,2.2041,2150.3698,0.83862
20130818T230746,1,12,52827.0111,21.1308,Go,0,,,51,0.67992,3,2.2041,1650.357,0.82539
20130818T230746,1,13,56701.7779,22.6807,Go,0,,,51,0.66217,3,2.2041,1650.3726,0.81284
20130818T230746,1,14,60578.5755,24.2314,Stop,1,0.56284,0.25,51,0.67614,2,2.5714,1787.5061,0.80307
20130818T230746,1,15,64953.9549,25.9816,Go,0,,,51,0.76526,3,2.2041,2150.3426,0.80055
20130818T230746,1,16,69324.2918,27.7297,Go,0,,,51,0.85438,3,2.2041,1650.432,0.80392
20130818T230746,1,17,73199.1576,29.2797,Go,0,,,51,0.79682,3,2.2041,1650.3736,0.8035
20130818T230746,1,18,77073.5867,30.8294,Stop,1,0.5535,0.25,51,0.36256,2,2.5547,2297.3216,0.779
20130818T230746,1,19,81944.3281,32.7777,Go,0,,,51,0.35956,3,2.2041,2650.4038,0.75693
20130818T230746,1,20,86805.8872,34.7224,Go,0,,,51,0.79651,3,2.2041,2150.3542,0.75891
20130818T230746,1,21,91164.7721,36.4659,Go,0,,,51,0.77417,3,2.2041,2650.3537,0.75963
20130818T230746,1,22,96022.8901,38.4092,Go,0,,,51,0.6756,3,2.2041,2150.4023,0.75581
20130818T230746,1,23,100381.9234,40.1528,Go,0,,,51,0.87639,3,2.2041,3150.4016,0.76106
20130818T230746,1,24,105756.7608,42.3027,Go,0,,,51,0.77264,3,2.2041,2650.3743,0.76154
20130818T230746,1,25,110616.6252,44.2467,Go,0,,,51,0.79327,3,2.2041,1650.3587,0.76281
20130818T230746,1,26,114475.6927,45.7903,Go,0,,,51,0.85529,3,2.2041,3150.3874,0.76636
20130818T230746,1,27,119849.63,47.9399,Go,0,,,51,0.75912,3,2.2041,1650.3716,0.7661
20130818T230746,1,28,123709.4646,49.4838,Go,0,,,51,0.7573,3,2.2041,1650.4751,0.76578
20130818T230746,1,29,127583.4912,51.0334,Go,0,,,51,0.73124,3,2.2041,1650.4595,0.76459
20130818T230746,1,30,131457.8557,52.5831,Stop,1,0.51459,0.25,,,1,2.5213,2335.7649,0.76459
20130818T230746,1,31,136333.7872,54.5335,Go,0,,,51,0.6775,3,2.2041,2150.3522,0.76169
20130818T230746,1,32,140713.8983,56.2856,Go,0,,,51,0.94287,3,2.2041,2650.3415,0.76753
20130818T230746,1,33,145581.5511,58.2326,Go,0,,,51,0.91583,3,2.2041,2150.3516,0.77217
20130818T230746,1,34,149940.5383,59.9762,Go,0,,,51,0.70082,3,2.2041,2150.4865,0.77001
20130818T230746,1,35,154315.5228,61.7262,Go,0,,,51,0.44603,3,2.2041,2650.3905,0.76048
20130818T230746,1,36,159190.183,63.6761,Go,0,,,51,0.31487,3,2.2041,3150.4666,0.74774
20130818T230746,1,37,164549.743,65.8199,Stop,1,0.49774,0.25,51,0.56288,2,2.5046,1852.6274,0.74261
20130818T230746,1,38,168911.9237,67.5648,Go,0,,,51,0.61192,3,2.2041,1650.3511,0.73908
20130818T230746,1,39,172783.8906,69.1136,Go,0,,,51,0.66594,3,2.2041,2150.4017,0.73715
20130818T230746,1,40,177157.7746,70.8631,Go,0,,,51,0.79525,3,2.2041,1650.4237,0.73864
20130818T230746,1,41,181033.089,72.4132,Stop,1,0.48864,0.25,51,0.31332,2,2.5047,2861.7176,0.72801
20130818T230746,1,42,186418.4717,74.5674,Go,0,,,51,0.37655,3,2.2041,2650.3547,0.71944
20130818T230746,1,43,191283.1078,76.5132,Go,0,,,51,0.46146,3,2.2041,2150.4377,0.71329
20130818T230746,1,44,195642.7102,78.2571,Stop,1,0.46329,0.25,,,1,2.4712,1387.1217,0.71329
20130818T230746,1,45,199520.8271,79.8083,Go,0,,,,,4,2.2041,2650.4336,0.71329
20130818T230746,1,46,204398.5844,81.7594,Stop,1,0.46329,0.25,52,0.57674,2,2.4713,2387.066,0.71012
20130818T230746,1,47,209270.363,83.7081,Go,0,,,52,0.27745,3,2.2041,2150.454,0.70029
20130818T230746,1,48,213642.3043,85.4569,Go,0,,,51,0.27815,3,2.2041,2650.4008,0.69091
20130818T230746,1,49,218517.0416,87.4068,Go,0,,,51,0.31495,3,2.2041,2650.358,0.68273
20130818T230746,1,50,223376.5865,89.3506,Stop,1,0.43273,0.25,51  52,0.35197,2,2.4379,1417.6887,0.67569
20130818T230746,2,1,1855.8207,0.74233,Go,0,,,51,0.87201,3,2.2041,3150.3257,0.87201
20130818T230746,2,2,7226.4261,2.8906,Stop,1,0.62201,0.25,51,0.27976,2,2.6382,2228.3465,0.57588
20130818T230746,2,3,12098.0782,4.8392,Go,0,,,51,0.54818,3,2.2041,2150.3582,0.56665
20130818T230746,2,4,16462.1139,6.5848,Stop,1,0.31665,0.25,,,0,,,0.56665
