Trial,66,133,200,266,333,400,466
7,,,1,,,,
14,,,,1,,,
16,,,,,0,,
19,,,,1,,,
21,,,,,1,,
29,,,,,,1,
42,,,,,,,1
54,,,,,,,1
57,,,,,,,1
60,,,,,,,0
66,,,,,,1,
68,,,,,,,1
75,,,,,,,0
77,,,,,,0,
89,,,,,1,,
90,,,,,,1,
91,,,,,,,1
96,,,,,,,1
98,,,,,,,1
100,,,,,,,1
FinalAccuracy:,NaN,NaN,1,1,0.66667,0.75,0.8
