SID,Trial,Stop,Delay,RT,Code,Duration,Mean
20130802T114829,Go,0,,0.89439,3,0.91648,0.89439
20130802T114829,Go,0,,0.29559,3,0.31665,0.59499
20130802T114829,Go,0,,1.4239,3,1.4329,0.87128
20130802T114829,Go,0,,0.26768,3,0.28328,0.72038
20130802T114829,Go,0,,0.37772,3,0.38506,0.65185
20130802T114829,Go,0,,0.25327,3,0.2665,0.58542
20130802T114829,Go,0,,0.38981,3,0.39999,0.55748
20130802T114829,Go,0,,0.25633,3,0.26655,0.51983
20130802T114829,Go,0,,0.10942,3,0.11723,0.47423
20130802T114829,Go,0,,0.28527,3,0.2984,0.45534
20130802T114829,Go,0,,0.25959,3,0.26674,0.43754
20130802T114829,Go,0,,0.27529,3,0.28319,0.42402
20130802T114829,Go,0,,0.28334,3,0.29995,0.4132
20130802T114829,Go,0,,0.32098,3,0.33321,0.40661
20130802T114829,Go,0,,0.27019,3,0.28156,0.39752
20130802T114829,Go,0,,0.23137,3,0.23338,0.38713
20130802T114829,Go,0,,0.89065,3,0.89985,0.41675
20130802T114829,Go,0,,0.43696,3,0.44783,0.41787
20130802T114829,Go,0,,0.37889,3,0.38319,0.41582
20130802T114829,Go,0,,0.44654,3,0.46471,0.41736
20130802T114829,Go,0,,0.56622,3,0.58321,0.42445
20130802T114829,Go,0,,0.69109,3,0.69986,0.43657
20130802T114829,Go,0,,0.60891,3,0.61676,0.44406
20130802T114829,Go,0,,0.70085,3,0.71662,0.45476
20130802T114829,Go,0,,0.73539,3,0.74988,0.46599
20130802T114829,Go,0,,0.89822,3,0.91634,0.48261
20130802T114829,Go,0,,0.74382,3,0.74865,0.49228
20130802T114829,Go,0,,0.77166,3,0.78322,0.50226
20130802T114829,Go,0,,0.47217,3,0.48152,0.50122
20130802T114829,Stop,1,0.40661,0.53782,2,0.54977,0.50244
20130802T114829,Go,0,,1.7025,3,1.7149,0.54115
20130802T114829,Go,0,,0.93055,3,0.93233,0.55332
20130802T114829,Stop,1,0.38995,,1,2.3997,0.55332
20130802T114829,Stop,1,0.40661,2.0732,2,2.083,0.59938
20130802T114829,Go,0,,,4,2.2163,0.59938
20130802T114829,Go,0,,0.62116,3,0.63097,0.60002
20130802T114829,Go,0,,,4,2.2164,0.60002
20130802T114829,Go,0,,0.87724,3,0.88493,0.60794
20130802T114829,Go,0,,,4,2.2164,0.60794
20130802T114829,Go,0,,0.8774,3,0.88335,0.61543
20130802T114829,Go,0,,0.87911,3,0.88323,0.62255
20130802T114829,Go,0,,0.74152,3,0.74933,0.62568
20130802T114829,Go,0,,0.75617,3,0.76658,0.62903
20130802T114829,Go,0,,0.691,3,0.69989,0.63058
20130802T114829,Stop,1,0.38995,,1,2.3995,0.63058
20130802T114829,Go,0,,,4,2.2164,0.63058
20130802T114829,Go,0,,0.83181,3,0.84989,0.63549
20130802T114829,Go,0,,0.33213,3,0.34993,0.62827
20130802T114829,Stop,1,0.40661,1.1657,2,1.1835,0.64076
20130802T114829,Go,0,,0.70264,3,0.7165,0.64217
20130802T114829,Go,0,,,4,2.2145,0.64217
20130802T114829,Go,0,,,4,2.2163,0.64217
20130802T114829,Go,0,,1.242,3,1.2498,0.6555
20130802T114829,Go,0,,0.58706,3,0.59957,0.65401
20130802T114829,Go,0,,0.64436,3,0.64941,0.65381
20130802T114829,Go,0,,0.61983,3,0.63326,0.6531
20130802T114829,Stop,1,0.38995,,1,2.3997,0.6531
20130802T114829,Go,0,,,4,2.2163,0.6531
20130802T114829,Go,0,,0.26921,3,0.28321,0.64526
20130802T114829,Go,0,,0.33878,3,0.35001,0.63914
20130802T114829,Go,0,,0.34026,3,0.34992,0.63327
20130802T114829,Go,0,,0.46623,3,0.48314,0.63006
20130802T114829,Go,0,,,4,2.216,0.63006
20130802T114829,Go,0,,1.382,3,1.3985,0.64425
20130802T114829,Go,0,,0.61794,3,0.63324,0.64376
20130802T114829,Go,0,,0.53986,3,0.54987,0.64187
20130802T114829,Go,0,,0.67882,3,0.68315,0.64253
20130802T114829,Go,0,,0.3559,3,0.36664,0.6375
20130802T114829,Go,0,,0.46702,3,0.48324,0.63457
20130802T114829,Go,0,,0.78013,3,0.78242,0.63703
20130802T114829,Go,0,,0.60212,3,0.61649,0.63645
20130802T114829,Stop,1,0.40661,0.48854,2,0.49993,0.63403
