SID,Trial,RT,Duration
20130716T173749,Go,,2.2165
20130716T173749,Stop,,2.2164
20130716T173749,Go,,2.2165
20130716T173749,Go,,2.2164
20130716T173749,Go,0.5392,0.54995
20130716T173749,Stop,0.59861,0.59994
20130716T173749,Go,0.63225,0.64994
20130716T173749,Stop,,2.2164
20130716T173749,Stop,,2.2831
20130716T173749,Go,0.84191,0.84993
20130716T173749,Go,0.72475,0.73328
20130716T173749,Go,0.91986,0.93324
20130716T173749,Stop,,2.3497
20130716T173749,Go,0.3636,0.36663
20130716T173749,Stop,,2.4164
20130716T173749,Go,0.50796,0.51661
20130716T173749,Go,0.53489,0.54995
20130716T173749,Go,0.6562,0.66663
20130716T173749,Go,0.57573,0.58328
20130716T173749,Go,0.58454,0.59995
20130716T173749,Go,0.99463,0.99991
20130716T173749,Go,,2.2164
20130716T173749,Stop,0.39644,0.39997
20130716T173749,Go,,2.2165
20130716T173749,Go,,2.2164
20130716T173749,Go,,2.2165
20130716T173749,Go,,2.2164
20130716T173749,Go,,2.2164
